Reference, Quantity, Value, Footprint, Datasheet, LCSCStockCode, PartNumber, JLCPCBRotation
ATTINY841 ,1,"ATtiny841-SSU","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8495-8-bit-AVR-Microcontrollers-ATtiny441-ATtiny841_Datasheet.pdf","C219103","",""
C1 ,1,"100nF","Capacitor_SMD:C_0805_2012Metric","","C49678","CC0805KRX7R9BB104",""
C2 ,1,"1uF","Capacitor_SMD:C_0805_2012Metric","","C28323","CL21B105KBFNNNE",""
C4 C5 ,2,"22pF","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C220JB8NNNC_C1653.pdf","C1804","CL21C220JBANNNC",""
D1 ,1,"AZ432ANTR-E1","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/szlcsc/Diodes-Incorporated-AZ432ANTR-E1_C84139.pdf","C84139","AZ432ANTR-E1",""
D2 ,1,"SMBJ5.0A","Diode_SMD:D_SMB","https://datasheet.lcsc.com/szlcsc/1912111437_AnBon-SMBJ5-0A_C440263.pdf","C440263","","0"
D3 ,1,"Red","LED_SMD:LED_0805_2012Metric","","C84256","2012HRK-620D",""
D4 ,1,"Blue","LED_SMD:LED_0805_2012Metric","https://datasheet.lcsc.com/szlcsc/Hubei-KENTO-Elec-Green-0805-Iv-207-249-mcd-atIF-20mA_C2297.pdf","C2293","Blue LED",""
EXTTEMP1 ,1,"Ext Temp Sensor","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","https://datasheet.lcsc.com/szlcsc/JST-Sales-America-S2B-PH-K-S-LF-SN_C173752.pdf","C265016","S2B-PH-K(LF)(SN)",""
F1 ,1,"mSMD150","Fuse:Fuse_1812_4532Metric","https://datasheet.lcsc.com/szlcsc/TECHFUSE-mSMD150_C70121.pdf","C70121","mSMD150",""
J2 ,1,"AVR-ISP-6","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm","https://lcsc.com/product-detail/Pin-Header-Female-Header_Boom-Precision-Elec-2-54mm-2-3P-Header_C65114.html","C65114","",""
POWER1 ,1,"Battery","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","https://datasheet.lcsc.com/szlcsc/JST-Sales-America-S2B-PH-K-S-LF-SN_C173752.pdf","C265016","S2B-PH-K(LF)(SN)",""
Q1 ,1,"AO3400A","TO_SOT_Packages_SMD:SOT-23","https://datasheet.lcsc.com/szlcsc/Alpha-Omega-Semicon-AOS-AO3400A_C20917.pdf","C20917","AO3400A",""
R1 R15 R20 R21 ,4,"10KOHMS","Resistor_SMD:R_0805_2012Metric","","C17414","0805W8F1002T5E",""
R14 ,1,"510OHMS","Resistor_SMD:R_0805_2012Metric","","C17734","0805W8F5100T5E",""
R16 R17 R18 ,3,"2.2KOHMS","Resistor_SMD:R_0805_2012Metric","","C17520","0805W8F2201T5E",""
R19 R23 ,2,"CMFB103F3950FANT","Resistor_SMD:R_0805_2012Metric","https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-CMFB103F3950FANT_C51597.pdf","C51597","CMFB103F3950FANT",""
R2 ,1,"1KOHMS","Resistor_SMD:R_0805_2012Metric","","C17513","0805W8F1001T5E",""
R3 ,1,"6.8K","Resistor_SMD:R_0805_2012Metric","","C17772","0805W8F6801T5E",""
R6 R8 R12 R22 R24 R25 R26 R29 R30 ,9,"3.3OHM 3/4W","Resistor_SMD:R_2010_5025Metric","","C270971","201007F330KT4E",""
R4 ,1,"2.7K","Resistor_SMD:R_0805_2012Metric","","C17530","0805W8F2701T5E",""
R5 ,1,"220 OHMS","Resistor_SMD:R_0805_2012Metric","","C17557","0805W8F2200T5E",""
REMOTE1 ,1,"Ext Temp Sensor","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://datasheet.lcsc.com/szlcsc/JST-Sales-America-S2B-PH-K-S-LF-SN_C173752.pdf"
RX1 ,1,"RX Connector","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","https://datasheet.lcsc.com/szlcsc/JST-Sales-America-S2B-PH-K-S-LF-SN_C173752.pdf","C265016","S2B-PH-K(LF)(SN)",""
TX1 ,1,"TX Connector","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","https://datasheet.lcsc.com/szlcsc/JST-Sales-America-S2B-PH-K-S-LF-SN_C173752.pdf","C265016","S2B-PH-K(LF)(SN)",""
U1 ,1,"EL3H7(B)(TA)-G","Package_SO:SOP-4_4.4x2.6mm_P1.27mm","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL3H7-B-TA-G_C32565.pdf","C32565","EL3H7(B)(TA)-G","90"
Y1 ,1,"8MHZ Ceramic Resonator","Crystals:Crystal_SMD_5032-2pin_5.0x3.2mm","https://datasheet.lcsc.com/szlcsc/1903061615_Yangxing-Tech-X50328MSB2GI_C115962.pdf","C115962","X50328MSB2GI",""